Date,News,
2015-05-07,"Nintendo sees profit doubling, helped by smartphone game entry",
2015-05-07,US STOCKS-Wall St rises on positive jobs data; tech stocks rebound,
2015-05-07,Exclusive: Microsoft has no plans to pursue Salesforce: sources,
2015-05-08,US STOCKS-Wall St extends gains after strong jobs data,
2015-05-08,US STOCKS-Stocks leap as Wall Street lauds jobs growth,
2015-05-08,US STOCKS-Wall Street jumps as investors laud jobs growth,
2015-05-08,US STOCKS-Wall St opens sharply higher after strong jobs data,
2015-05-08,US STOCKS-Wall St futures extend gains after strong jobs data,
2015-05-11,Web hosting company Rackspace forecasts revenue below Street,
2015-05-12,Clippers thrive with their 'Be Relentless' approach,
2015-05-12,GoDaddy's revenue rises 17.5 percent due to customer additions,
2015-05-12,CORRECTED-Australia targets 30 multinationals in tax crackdown,
2015-05-12,Australia targets 30 multinationals in tax crackdown,
2015-05-13,Singer Sarah Brightman calls off flight to space station,
2015-05-13,"US STOCKS-Wall St little changed on weak data, bond market swings",
2015-05-13,"Glencore fights two Australia tax bills, faces audit",
2015-05-20,"INSIGHT-Apple, Android app makers cool to Microsoft overtures",
2015-05-20,Nokia's brand-licensing exec leaves the company,
2015-05-20,"Apple, Android app makers cool to Microsoft overtures",
2015-05-20,Salesforce revenue jumps 23 pct,
2015-05-20,"Insight: Apple, Android app makers cool to Microsoft overtures",
2015-05-20,SAP CEO says he does not believe Salesforce will be sold,
2015-05-21,Ignition Partners raises $200 million for new venture fund,
2015-05-21,Alibaba-backed Baozun rises in debut after pricing below expectations,
2015-05-22,US STOCKS-Wall St ends lower after Yellen comments fail to inspire,
2015-05-22,"Microsoft, Salesforce held ""significant"" talks this spring: CNBC",
2015-05-22,"Microsoft, Salesforce talks fell through on pricing: CNBC",
2015-05-26,Skype summoned to Belgian court over failure to share call data,
2015-05-26,"Amid raids, Uber's Kalanick strikes conciliatory tone in China",
2015-05-27,US STOCKS-Wall St rises as Greece worries abate,
2015-05-29,TCV seeks to sell stake in marketing firm Merkle: sources,
2015-05-29,How advisers can get Google to like their websites,
2015-05-29,TCV seeks to sell stake in marketing firm Merkle-sources,
2015-05-29,YOUR PRACTICE-How advisers can get Google to like their websites,
2015-06-01,Intel's purchase of Altera defends its datacenter dominance,
2015-06-01,Microsoft says Windows 10 available on July 29,
2015-06-01,US STOCKS-U.S. stocks recover gains after mixed economic data,
2015-06-01,US STOCKS-Wall St edges up as data supports Fed rate view,
2015-06-01,".@Microsoft is preparing Windows 10 for release on July 29, just in time for the back-to-school sales http://bloom.bg/1GQCI6k ",
2015-06-01,.@Microsoft and the IRS are back in court http://bloom.bg/1HHqngV ,
2015-06-02,Autistic coders are finding jobs as software detectives for the likes of Microsoft and SAP http://bloom.bg/1JlHx7Z pic.twitter.com/m1jMm3jrxT,
2015-06-03,CORRECTED-Hedge fund mogul Paulson gives Harvard record $400 mln donation,
2015-06-03,Hedge fund boss Paulson gives Harvard record $400 million,
2015-06-08,Apple said to build high-speed data network: Bloomberg,
2015-06-08,Smartphone trailblazer HTC loses more than market share,
2015-06-09,WPP sales growth slows a touch,
2015-06-10,REFILE-US STOCKS-Wall St up on report Germany may consider Greece aid,
2015-06-10,".@Microsoft offers monster touch-screen surface for conferencing for just $20,000 http://bloom.bg/1GyqoZW pic.twitter.com/jEufdo49Cj",
2015-06-10,Cyberattack targeted Iran nuclear talks venues: Kaspersky Lab,
2015-06-11,Exclusive: BlackBerry may put Android system on new device: sources,
2015-06-11,".@Microsoft offers monster touch-screen surface for conferencing for just $20,000 http://bloom.bg/1GyqoZW pic.twitter.com/uXMTiRvHiB",
2015-06-11,Facebook’s Oculus teams up with Microsoft’s Xbox http://bloom.bg/1Hw24a1 pic.twitter.com/a6soDx6qbE,
2015-06-11,Microsoft and Oculus are teaming up on Playstation http://bloom.bg/1B9CR3S pic.twitter.com/c8B845oxBF,
2015-06-12,BlackBerry move to embrace Android may bring unexpected reward,
2015-06-15,Kaspersky says Iran talks spyware masqueraded under Foxconn name,
2015-06-15,Facebook plans new data center in growing Irish cloud hub,
2015-06-16,"In a surprise move, @Microsoft will let you play your old Xbox 360 games on Xbox One http://bloom.bg/1G8uPnP ",
2015-06-16,How the cheaper Xbox could give @Microsoft the edge it needs http://bloom.bg/1Fkw1DT pic.twitter.com/fXwdMneF4O,
2015-06-16,Nokia faces lengthy arbitration over LG patent royalty payments,
2015-06-16,US STOCKS-Wall St rises as Fed meet eyed; M&A picks up,
2015-06-17,Halo and the HoloLens: Microsoft teases its virtual world at #E32015http://on.wsj.com/1HSQJRC ,
2015-06-17,Microsoft has announced changes to its senior leadership team,
2015-06-17,How a cheaper Xbox could help @Microsoft win the console war http://bloom.bg/1Fkw1DT pic.twitter.com/xUZiYI1GkG,
2015-06-17,Federal Circuit puts squeeze on amendments in controversial patent reviews,
2015-06-17,Virtual reality dominates floor at E3 gaming show,
2015-06-17,.@Microsoft faces challenge as Russian companies turn to homegrown software to avoid sanctions http://bloom.bg/1GdjmmO pic.twitter.com/QGR1hkCAsh,
2015-06-17,.@Microsoft announces changes to its senior leadership team in a management overhaul http://bloom.bg/1G3xEaI ,
2015-06-17,.@Microsoft faces Russian hurdles as local software thrives http://bloom.bg/1GdjmmO pic.twitter.com/42cly7wqPb,
2015-06-18,Judge in Microsoft tax case to decide if IRS improperly hired Quinn Emanuel,
2015-06-18,"U.S. current account widens on weak exports, overseas profits",
2015-06-18,.@Microsoft faces challenge as Russian companies turn to homegrown software to avoid sanctions http://bloom.bg/1GdjmmO pic.twitter.com/kLehN27jFW,
2015-06-18,.@Microsoft's CEO announces his biggest overhaul since taking over early last year http://bloom.bg/1G3xEaI ,
2015-06-22,"Oracle extends cloud offerings, looks to compete with Amazon.com",
2015-06-23,US STOCKS-Wall St sheds gains after comments on rate rise,
2015-06-23,New website helps people donate directly to human trafficking survivors,
2015-06-24,Microsoft CEO Satya Nadella was the highest paid new CEO in 2014: http://on.wsj.com/1BAEJmv pic.twitter.com/BB4r1QR04f,
2015-06-24,Google Genomics adds Broad Institute's DNA analysis toolkit,
2015-06-25,Bharti Enterprises buys stake in satellite internet startup OneWeb,
2015-06-25,"Factbox: Most U.S. businesses welcome Obama's trade pact, Detroit wary",
2015-06-25,Micron revenue forecast misses as PC chip prices remain low,
2015-06-27,Microsoft is sending HoloLens to space to help NASA » http://cnb.cx/1LJOMWB pic.twitter.com/WZ8VQ529Nl,
2015-06-29,"Microsoft hands display ads to AOL, maps to Uber",
2015-06-29,"Microsoft to drop display ad business, cut 1200 jobs: Bloomberg",
2015-06-29,Microsoft announced new AOL deal » http://cnb.cx/1RN0OAg pic.twitter.com/wLU3KturZj,
2015-06-29,".@Microsoft said to exit display ad business, cutting 1,200 jobs http://bloom.bg/1FLbska ",
2015-06-30,"Capital controls mean Greeks can click, but not buy",
2015-07-01,.@Sony and @Microsoft face a flood of illegal consoles in China http://bloom.bg/1Hvzwgr pic.twitter.com/wI1A3Uj9C7,
2015-07-01,Brazil's Rousseff tops off U.S. tour with Silicon Valley visit,
2015-07-02,"NASCAR cools on Confederate flag, but fans still fly it",
2015-07-04,.@Sony and @Microsoft face a flood of illegal consoles in China http://bloom.bg/1Hvzwgr pic.twitter.com/xUiiUHiIno,
2015-07-04,Minecraft celebrities draw record crowd to gaming,
2015-07-06,CORRECTED-Brazil's Rousseff tops off U.S. tour with Silicon Valley visit,
2015-07-08,"DEVELOPING: @Microsoft to cut up to 7,800 jobs http://bloom.bg/1TlcDjK ",
2015-07-08,Microsoft to announce a new round of layoffs: http://cnb.cx/1CoeJuY pic.twitter.com/s8l49KzdMf,
2015-07-08,"Microsoft hangs up on Nokia business, to cut 7,800 jobs",
2015-07-08,Microsoft gets $7.6 billion wakeup call from Nokia,
2015-07-08,US STOCKS-U.S. futures fall as China rout deepens,
2015-07-13,Nintendo CEO who broadened video game appeal dies of cancer,
2015-07-16,Lines go silent in Finnish town of Salo as Microsoft shuts Nokia phone unit,
2015-07-16,Top EU court puts onus on patent holders in licensing spats,
2015-07-17,Wall St Week Ahead-Investors hope tech giants repeat Google surge,
2015-07-17,Investors hope tech giants repeat Google surge,
2015-07-20,On cusp of breakout? Vietnam equities outperform Southeast Asia,
2015-07-20,US STOCKS-Wall Street ends flat as commodities weigh,
2015-07-20,Options traders grow more bullish on big tech names,
2015-07-20,US STOCKS-Futures rise as earnings remain in focus,
