,ent1PC1,ent1PC2,ent2PC1,ent2PC2
98,-0.2583439,-0.10516376,0.515932,-0.11448059
99,0.28750756,-0.18090378,-0.09794782,0.28222993
100,0.065066025,0.38799337,0.48714542,0.61036366
101,-0.2583439,-0.10516376,0.17917502,0.21166195
102,-0.2583439,-0.10516376,-0.1748915,-0.1866241
103,0.11827615,0.02840927,0.15444416,-0.06564894
104,0.62273544,0.10171969,0.32094038,-0.29013488
105,0.26660886,-0.27075022,0.16219255,-0.4082572
106,-0.06179852,0.41003573,0.58660203,-0.12137926
107,-0.06556301,0.14253895,0.227078,0.11368237
108,0.065066025,0.38799337,0.07747369,-0.3858873
109,0.32228422,0.08739567,0.10137057,0.2844288
110,-0.33551887,-0.21754137,-0.17937575,0.38056624
111,0.18828118,0.69199145,0.08361066,0.20611088
112,-0.25755045,-0.44684282,-0.0688088,-0.5185429
113,-0.2583439,-0.10516376,0.34248483,0.21154493
114,0.5035441,-0.5022766,0.07261151,-0.7566695
115,-0.058310412,-0.08665245,-0.08197885,-0.0686963
116,0.13628997,0.010654017,0.41296008,0.1990872
117,-0.0023825893,0.034273144,0.23511922,0.195837
118,-0.2583439,-0.10516376,-0.09214076,-0.07775465
119,-0.3351228,-0.072138816,0.35476792,0.22581136
120,0.13805485,-0.17598262,0.2118512,0.33678055
121,0.65882194,-0.1744099,0.37046027,-0.24235299
122,0.19398756,0.38923332,-0.4539704,-0.027352717
123,0.20156865,0.3717548,-0.29950166,0.24345039
124,-0.2583439,-0.10516376,-0.07186928,-0.18320568
125,0.072777845,0.15487666,0.013165208,0.3268314
126,-0.2583439,-0.10516376,0.15444416,-0.06564894
127,0.65882194,-0.1744099,0.26661375,-0.3875304
128,-0.2583439,-0.10516376,-0.34504297,0.01704021
129,0.39602464,0.12371281,0.22253609,0.6047383
130,-0.19971037,0.45096335,0.19519462,-0.05130822
131,-0.21970987,0.0590207,-0.59537697,0.0073040375
132,-0.2583439,-0.10516376,0.017691707,-0.3983351
133,-0.15839203,0.03973292,-0.34504297,0.01704021
134,0.53156054,0.4073774,-0.15130894,0.37706292
135,0.056601953,0.42029783,-0.03714445,-0.07667236
136,-0.02110905,0.45161793,-0.3930479,0.001907234
137,-0.2583439,-0.10516376,-0.25348076,0.12976564
138,-0.33551887,-0.21754137,0.15471637,0.22352491
139,-0.2583439,-0.10516376,-0.59537697,0.0073040375
140,-0.3441188,-0.25609857,-0.4539704,-0.027352717
141,0.25621557,0.13671523,-0.09735942,0.3179943
142,-0.2583439,-0.10516376,0.6086029,0.028847288
143,0.023260033,0.08766345,-0.033314247,0.03172877
144,0.39602464,0.12371281,-0.11444699,0.11044934
145,-0.09017852,0.21118365,-0.08864207,0.023420235
146,0.06913493,-0.2037298,-0.20038544,-0.14685136
147,-0.19152172,0.052377168,-0.46469963,0.14708361
148,0.19398756,0.38923332,0.45507523,0.12355635
149,-0.2583439,-0.10516376,-0.0688088,-0.5185429
150,-0.2583439,-0.10516376,0.49563238,-0.082767196
151,-0.2583439,-0.10516376,-0.0688088,-0.5185429
152,-0.06556301,0.14253895,0.23829126,-0.030618215
153,-0.23426484,0.20604761,0.24356142,0.091366306
154,-0.15879922,-0.029628174,0.33550382,-0.3571013
155,-0.37808067,-0.035550196,-0.27854106,0.0015416576
156,-0.37808067,-0.035550196,-0.34504297,0.01704021
157,-0.3351228,-0.072138816,-0.17143251,0.18627355
158,-0.33551887,-0.21754137,0.34802166,-0.05247647
159,0.10972254,0.25925863,0.33723763,0.21306203
160,-0.2583439,-0.10516376,0.64282525,0.053621158
161,-0.2583439,-0.10516376,-0.04188303,0.07437547
162,0.065066025,0.38799337,0.19247092,-0.4429928
163,-0.2583439,-0.10516376,0.15019482,-0.08158373
164,-0.06556301,0.14253895,-0.17618808,0.4367205
165,-0.2583439,-0.10516376,0.65943104,-0.028538192
166,-0.2138168,0.16941692,0.5928588,0.1162779
167,-0.12832011,0.2553088,-0.10644792,0.0015606136
168,0.18683766,-0.025734643,-0.08017169,0.12022561
169,-0.44032642,0.09931279,-0.061260078,-0.3874517
170,0.32148662,-0.34656245,0.07261151,-0.7566695
171,0.118405916,-0.074575834,-0.0072515793,0.23251136
172,-0.2583439,-0.10516376,0.15824802,0.08635828
173,-0.37808067,-0.035550196,-0.1506861,0.3668117
174,-0.35341528,-0.56188303,-0.4539704,-0.027352717
175,0.03977873,-0.13529395,0.40923926,0.470647
176,-0.2583439,-0.10516376,0.49563238,-0.082767196
177,0.28750756,-0.18090378,0.15104339,0.013432661
178,0.072777845,0.15487666,-0.28731856,0.13414
179,0.072777845,0.15487666,-0.17143251,0.18627355
180,-0.2583439,-0.10516376,0.043749858,0.018787976
181,-0.2583439,-0.10516376,0.15824802,0.08635828
182,0.65882194,-0.1744099,-0.16839668,0.49976882
183,0.29753873,-0.19509451,0.08877393,0.26778406
184,0.11392447,0.74980444,0.049445234,0.18495263
185,-0.15879922,-0.029628174,-0.1448068,0.23106697
186,0.06913493,-0.2037298,-0.34504297,0.01704021
187,0.25621557,0.13671523,0.21787053,-0.048487186
