Q2283, P101, Q370563
Q380, P133, Q100741536
Q458, P136, Q70508136
Q37156, P109, Q2283
Q918, P105, Q100783321
Q30938280, P153, Q2283
Q851, P109, Q621608
Q13677, P129, Q100742135
Q338825, P153, Q2283
Q28782856, P116, Q725967
Q2283, P153, Q489097
Q13677, P109, Q100774275
Q7808625, P153, Q19900
Q13677, P129, Q100716577
Q95, P128, Q159
Q1364176, P116, Q725967
Q13677, P109, Q100774275
Q11201, P116, Q2283
Q95, P133, Q3510521
Q22977834, P151, Q265158
Q95, P108, Q16848759
Q13677, P109, Q7689423
Q144060, P153, Q2283
Q2283, P153, Q100742034
Q54173, P153, Q2283
Q13677, P109, Q100774275
Q242345, P109, Q100774275
Q319642, P116, Q725967
Q30644014, P116, Q725967
Q2283, P153, Q923062
Q2283, P108, Q157675
Q871325, P134, Q19903406
Q668, P116, Q725967
Q153417, P116, Q725967
Q13677, P129, Q100774275
Q2283, P148, Q11660
Q41187, P109, Q15129721
Q5284, P105, Q11081
Q456157, P165, Q3075818
Q11201, P121, Q59635668
Q851, P105, Q1039245
Q40984, P117, Q148
Q860580, P109, Q1901350
Q3047087, P153, Q2283
Q2283, P133, Q725967
Q2283, P102, Q181201
Q456157, P149, Q11660
Q2283, P100, Q7689423
Q30504331, P153, Q2283
Q458, P147, Q2283
Q2283, P115, Q544847
Q3122864, P119, Q3510521
Q30640822, P148, Q5205777
Q2283, P100, Q16822168
Q2283, P112, Q208218
Q2283, P164, Q169207
Q55074807, P153, Q2283
Q13677, P109, Q100774275
Q30, P122, Q2283
Q1537378, P153, Q2283
Q2283, P109, Q483639
Q15238661, P153, Q2283
Q456157, P109, Q2283
Q677085, P153, Q2283
Q10599821, P116, Q725967
Q1720400, P153, Q2283
Q11201, P123, Q2283
Q20715093, P116, Q725967
Q2283, P112, Q383295
Q5107236, P121, Q27907217
Q2283, P133, Q181201
Q25230554, P153, Q2283
Q8069225, P153, Q2283
Q2283, P117, Q3240539
Q502121, P153, Q2283
Q502121, P109, Q2283
Q2283, P100, Q1483757
Q1781428, P153, Q2283
Q2283, P148, Q11660
Q16193458, P150, Q2283
Q2283, P112, Q1376796
Q30, P118, Q2283
Q2283, P164, Q77574345
Q2283, P153, Q100774984
Q1553390, P129, Q2283
Q2283, P138, Q493751
Q2283, P137, Q388
Q6384925, P111, Q2283
Q1325291, P153, Q2283
Q155, P164, Q21043347
Q2283, P109, Q11255
Q5275736, P153, Q2283
Q181162, P165, Q11692
Q878, P109, Q621608
Q2283, P148, Q11660
Q100780075, P116, Q725967
Q2283, P133, Q55637983
Q7267590, P150, Q14772
Q2283, P100, Q90832980
Q7208364, P153, Q2283
Q11991268, P161, Q2283
Q2283, P109, Q483639
Q17068357, P153, Q2283
Q2283, P100, Q364
Q55589254, P100, Q364
Q1161666, P153, Q2283
Q2283, P101, Q27968830
Q145, P153, Q2283
Q2283, P100, Q97854288
Q2283, P153, Q668
